DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      Myccost_I2000Clm50BgcCrop_kparams  (yrs 1-14)
 
REFERENCE CASE (case2): Myccost_I2000Clm50BgcCrop_control  (yrs 1-14)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         256.088             256.088              25.508              25.848               9.924              10.046             125.210             124.688              35.478              35.440              68.258              68.374
Canadian Arctic        199.402             199.402               3.092               3.187               1.637               1.687              16.997              17.031              55.749              55.630             136.414             136.399
Greenland              608.908             608.908               1.450               1.619               0.163               0.183               4.228               4.251             -14.924             -15.006             303.533             303.413
Russian Arctic         361.463             361.463              16.391              16.858               5.173               5.348             117.560             117.642              58.598              58.046             172.297             172.285
Antarctica             253.449             253.449               0.000               0.000               0.000               0.000               0.000               0.000              -9.178              -9.178               7.775               7.775
Alaska                 594.802             594.802              41.713              43.138               9.177               9.476             159.952             158.874              55.974              55.375             329.316             329.416
Northwest Canada       399.923             399.923              41.185              41.217               9.715               9.734             189.018             188.533             106.955             106.773              63.835              64.464
Central Canada         588.361             588.361              52.009              51.866               8.683               8.646             188.116             187.774             156.013             155.762             194.859             195.613
Eastern Canada         873.201             873.201              45.225              47.158               4.868               5.078              98.393              98.733             116.712             114.742             612.010             611.809
Northern Europe        750.699             750.699              48.316              51.313               6.917               7.355             175.052             175.105              68.598              66.454             457.683             456.808
Western Siberia        603.313             603.313              39.364              38.906               6.721               6.625             218.922             221.287              90.253              88.604             252.021             252.250
Eastern Siberia        443.207             443.207              30.031              30.496               6.659               6.785             176.267             176.962              81.203              80.218             156.767             156.715
Western U.S.           452.765             452.765              21.294              21.041               4.818               4.782             106.267             122.103             144.692             141.577             177.743             165.060
Central U.S.           823.634             823.634              93.746              75.023              11.592               9.613             320.828             304.514             149.631             164.524             252.193             271.885
Eastern U.S.          1128.580            1128.580              98.911              91.697               8.519               7.897             328.132             324.967             178.520             181.516             518.855             526.165
Europe                 873.586             873.586              60.076              62.175               7.059               7.225             279.380             279.041              93.483              92.587             443.976             443.416
Mediterranean          684.702             684.702              48.306              46.085               7.051               6.621             299.827             300.768             122.898             126.845             217.735             214.521
Central America       2391.970            2391.970             366.931             333.015              16.447              14.955             646.717             604.832             157.215             190.767            1225.547            1266.923
Amazonia              2317.166            2317.166             273.733             271.545              11.774              11.666             763.604             756.644             170.244             175.802            1111.193            1114.781
Central Africa        1629.873            1629.873             253.415             246.711              15.652              15.209             738.253             723.891             141.817             154.065             488.821             497.710
Indonesia             2868.295            2868.295             360.372             325.159              13.317              11.952             734.606             681.524             135.027             185.930            1647.346            1684.037
Brazil                1348.343            1348.343             201.005             173.203              14.546              12.652             587.933             536.045             153.405             200.544             396.923             428.809
Sahel                  916.768             916.768              99.365              83.560              10.755               9.003             307.036             262.228             229.224             257.044             274.252             306.428
Southern Africa        920.829             920.829              76.913              72.818               8.034               7.642             356.513             338.870             256.700             263.322             230.865             244.226
India                 1231.651            1231.651              62.577              50.959               5.144               4.062             324.394             300.451             319.237             370.675             524.661             508.318
Indochina             1814.339            1814.339             178.187             152.298              10.679               8.977             636.143             563.389             162.962             207.018             833.216             887.440
Sahara Desert           55.541              55.541               0.984               0.983               0.472               0.473               6.856               6.946              42.711              42.755               5.350               5.214
Arabian Peninsula       57.574              57.574               0.424               0.422               0.304               0.316              10.807              13.043              42.323              43.208               6.081               2.918
Australia              289.142             289.142              10.974              10.863               3.648               3.616             119.351             118.990             130.928             131.153              33.782              34.016
Central Asia           218.699             218.699               3.908               3.806               1.620               1.588              65.503              75.123             103.858             105.663              40.566              29.243
Mongolia               197.774             197.774              14.829              14.710               5.298               5.275              74.154              75.989              85.559              85.543              24.417              22.706
Tibetan Plateau        268.309             268.309              27.173              28.057               8.139               8.044             105.890             105.086              80.744              79.776              61.811              62.295
Central Asia           310.714             310.714              12.928              12.889               3.282               3.282             103.705             113.329             141.221             137.515              52.130              46.256
NE China               360.134             360.134              35.508              33.893               8.083               7.812             158.259             158.160              99.273             101.575              65.027              64.626
Eastern China          705.305             705.305              65.490              63.066               9.574               9.393             257.612             265.766             135.375             140.694             241.181             229.787
Tibetan Plateau        268.309             268.309              27.173              28.057               8.139               8.044             105.890             105.086              80.744              79.776              61.811              62.295
Southern Asia         1200.973            1200.973              94.106              86.184               7.188               6.588             324.215             317.442             178.656             204.402             600.816             589.625
Sahara and Arabia       64.658              64.658               1.865               1.838               0.755               0.754              12.312              13.205              46.000              46.523               4.856               3.449
MedSea and MidEast     412.455             412.455              21.687              20.613               3.725               3.512             166.337             173.114             148.190             150.970              74.887              66.202
Tigris Euphrates       332.929             332.929               8.342               7.572               1.988               1.826             130.467             145.072             119.727             124.621              67.262              48.390
Polar                  459.278             459.278              20.937              21.689               4.859               5.024             109.388             109.399              58.465              57.767             234.988             234.913
Lost Boreal Forest     383.944             383.944              37.882              38.695               9.349               9.575             140.367             140.589             100.087              98.976             102.965             103.065
N. Hemisphere Land     690.618             690.618              60.630              56.493               6.424               6.103             216.413             212.064             121.201             127.668             285.189             287.091
S. Hemisphere Land     893.721             893.721              94.032              87.440               6.930               6.467             302.157             288.636             119.672             129.921             303.194             312.664
Global                 756.645             756.645              71.488              66.553               6.589               6.222             244.286             236.956             120.705             128.400             291.044             295.406
