DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      Myccost_ISSP585Clm50BgcCrop_kparams  (yrs 2015-2048)
 
REFERENCE CASE (case2): Myccost_ISSP585Clm50BgcCrop_control  (yrs 2015-2048)
 
DIFFERENCE:            (Myccost_ISSP585Clm50BgcCrop_kparams) - (Myccost_ISSP585Clm50BgcCrop_control)
 
Variable                                                              case1-case2
 
NEE(PgC/y) net ecosys exchange of C;incl fire flx;pos for source           0.452
NEP(PgC/y) net ecosystem production;excl fire flx;pos for sink            -0.473
NBP(PgC/y) net biome production, includes fire, landuse and harvest flux  -0.339
GPP(PgC/y) gross primary production                                       -0.255
CUE(NPP/GPP) carbon use efficiency                                        -0.011
PSNSUN_TO_CPOOL(PgC/y) GPP from Sunlit Canopy                              0.224
PSNSHADE_TO_CPOOL(PgC/y) GPP from Shaded Canopy                           -0.479
NPP(PgC/y) net primary production                                         -1.105
AGNPP(PgC/y) above ground net primary production                          -0.571
BGNPP(PgC/y) below ground net primary production                          -0.450
MR(PgC/y) maintenance respiration                                         -0.218
GR(PgC/y) total growth respiration                                        -0.122
AR(PgC/y) autotrophic respiration (MR + GR)                                0.850
LITHR(PgC/y) litter hetereotrophic respiration                          -999.000
SOMHR(PgC/y) SOM hetereotrophic respiration                             -999.000
HR(PgC/y) total hetereotrophic respiration                                -0.633
RR(PgC/y) root respiration (fine root MR + total root GR)                 -0.023
SR(PgC/y) total soil respiration (HR + root resp)                         -0.656
ER(PgC/y) total ecosystem respiration (AR + HR)                            0.217
FINUNDATED(unitless) Fractional inundated of veg col                       0.000
FCH4(PgC/y) Gridcell surface CH4 flux                                     -0.005
FCH4TOCO2(PgC/y) Gridcell oxidation of CH4 to CO2                         -0.006
FCH4_DFSAT(PgC/y) CH4 additional flux                                      0.000
CH4PROD(PgC/y) Gridcell total CH4 production                              -0.010
CH4_SURF_AERE_SAT(Tmol/y) aerenchyma sfc CH4 flx-inundated area           -3.507
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area     -0.133
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area       -0.047
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area      -0.013
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area       0.021
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area     -0.005
LEAFC(PgC) leaf carbon                                                    -0.178
XSMRPOOL(PgC) Temporary Photosynthate C Pool                               0.025
SOIL3C(PgC) Soil organic matter C (slow pool)                             -0.058
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000
FROOTC(PgC) fine root carbon                                              -0.241
LIVESTEMC(PgC) live stem C                                                -0.011
DEADSTEMC(PgC) dead stem carbon                                           -0.565
LIVECROOTC(PgC) live coarse root carbon                                   -0.002
DEADCROOTC(PgC) dead coarse root carbon                                   -0.163
CPOOL(PgC) temporary photosynthate C pool                                  0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                          -2.295
CWDC(PgC) coarse woody debris carbon                                      -0.073
TOTLITC(PgC) total litter carbon                                          -0.408
TOTLITC_1m(PgC) total litter carbon to 1m depth                           -0.410
TOTSOMC(PgC) total SOM carbon                                             -3.111
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                         -3.111
TOTLITN(TgN) total litter N                                               -2.964
TOTLITN_1m(TgN) total litter N to 1m depth                                -3.056
TOTSOMN(TgN) total soil organic matter N                                -293.594
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth                 -293.648
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool                -5.879
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                        -5.854
FPG(proportion) fraction of potential GPP                               -999.000
FPI(proportion) fraction of potential immobilization                      -0.007
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                   0.000
