DIAG SET 5: REGIONAL HYDROLOGIC CYCLE OVER LAND
 
TEST CASE (case1):      Myccost_ISSP585Clm50BgcCrop_kparams  (yrs 2015-2048)
 
REFERENCE CASE (case2): Myccost_ISSP585Clm50BgcCrop_control  (yrs 2015-2048)
 
Region                  case1               case2               case1               case2               case1               case2               case1               case2               case1               case2               case1               case2    
                             ppt: rain+snow                        canopy evaporation              canopy evap:QVEGE/(RAIN+SNOW)*100             canopy transpiration                     ground evaporation                     Total Liquid Runoff
 
Alaskan Arctic         262.621             262.621              29.110              29.476              11.110              11.262             120.834             120.230              36.934              36.878              75.650              75.905
Canadian Arctic        198.634             198.634               3.087               3.205               1.676               1.741              15.489              15.514              55.963              55.835             134.285             134.266
Greenland              679.945             679.945               1.477               1.733               0.159               0.186               3.746               3.810             -14.594             -14.714             317.041             316.838
Russian Arctic         362.198             362.198              16.959              17.601               5.255               5.485             114.699             114.745              58.407              57.699             172.644             172.654
Antarctica             243.841             243.841               0.000               0.000               0.000               0.000               0.000               0.000             -15.069             -15.069               8.128               8.128
Alaska                 590.684             590.684              44.107              45.660               9.813              10.135             145.409             144.094              57.347              56.847             340.989             341.227
Northwest Canada       401.360             401.360              43.275              44.102              10.135              10.340             175.441             174.792             105.564             104.953              74.091              74.477
Central Canada         595.527             595.527              53.057              54.370               8.739               8.935             172.977             172.030             156.582             155.139             212.043             213.004
Eastern Canada         889.907             889.907              45.620              49.171               4.857               5.233              90.312              91.675             117.334             113.853             635.695             634.295
Northern Europe        751.546             751.546              49.247              54.442               6.996               7.740             160.394             161.000              71.173              67.622             469.436             467.239
Western Siberia        611.675             611.675              40.889              41.781               6.872               7.013             210.411             210.290              87.769              86.332             269.279             269.924
Eastern Siberia        451.344             451.344              32.423              33.611               7.074               7.351             170.132             170.917              83.170              81.546             164.597             164.254
Western U.S.           445.946             445.946              21.013              21.440               4.929               4.975             112.599             113.533             140.617             139.850             170.796             170.280
Central U.S.           781.134             781.134              77.657              77.696              10.345              10.350             286.633             286.948             163.776             163.632             251.036             250.870
Eastern U.S.          1138.026            1138.026              98.991              99.604               8.450               8.514             308.575             309.891             183.665             182.429             543.703             543.021
Europe                 878.328             878.328              66.848              68.210               7.783               7.925             260.509             261.222              96.573              95.732             456.308             455.123
Mediterranean          708.598             708.598              53.638              54.043               7.480               7.556             296.259             296.083             128.475             127.930             231.363             231.678
Central America       2442.253            2442.253             371.575             372.641              16.304              16.361             556.399             558.391             195.191             194.419            1319.635            1317.359
Amazonia              2349.728            2349.728             310.977             310.897              13.167              13.164             725.016             724.842             154.340             154.508            1159.454            1159.537
Central Africa        1634.219            1634.219             259.629             259.550              15.981              15.977             689.255             689.668             166.110             166.023             515.897             515.655
Indonesia             2982.545            2982.545             367.632             370.696              12.874              12.994             620.075             624.795             196.374             192.777            1799.641            1795.483
Brazil                1334.834            1334.834             168.862             168.093              12.501              12.457             468.052             467.106             234.208             235.534             456.523             456.954
Sahel                  903.882             903.882              84.999              84.325               9.267               9.201             228.984             227.000             272.827             273.897             314.480             316.054
Southern Africa        944.539             944.539              79.396              79.030               8.090               8.042             327.768             325.799             276.713             277.822             255.988             257.150
India                 1239.278            1239.278              51.217              51.917               4.062               4.110             285.108             292.419             390.638             387.160             511.413             506.887
Indochina             1842.280            1842.280             156.989             158.533               9.012               9.103             508.733             517.076             232.266             228.149             942.174             936.404
Sahara Desert           53.680              53.680               1.025               1.026               0.490               0.491               6.470               6.479              41.958              41.951               4.879               4.877
Arabian Peninsula       53.870              53.870               0.466               0.471               0.368               0.370              12.768              12.805              40.914              40.887               1.847               1.838
Australia              303.387             303.387              11.746              11.770               3.726               3.732             113.182             113.083             142.622             142.699              37.163              37.141
Central Asia           215.163             215.163               3.961               4.073               1.695               1.734              76.999              78.375             105.409             104.801              26.976              26.238
Mongolia               192.301             192.301              15.186              15.412               5.569               5.646              76.401              76.611              83.454              83.127              19.917              19.834
Tibetan Plateau        281.141             281.141              29.017              32.637               8.140               8.900             103.373             106.130              83.254              79.127              67.774              65.662
Central Asia           308.292             308.292              13.347              13.681               3.404               3.489             112.604             113.517             138.052             137.317              44.294              43.850
NE China               354.468             354.468              36.341              36.604               8.473               8.535             154.726             154.915             100.468             100.204              64.767              64.608
Eastern China          711.693             711.693              69.291              71.510              10.136              10.493             266.502             268.317             140.537             138.030             232.594             231.179
Tibetan Plateau        281.141             281.141              29.017              32.637               8.140               8.900             103.373             106.130              83.254              79.127              67.774              65.662
Southern Asia         1201.017            1201.017              91.535              92.852               6.982               7.125             301.165             306.621             213.855             210.715             593.638             590.010
Sahara and Arabia       62.895              62.895               1.963               1.966               0.811               0.813              12.549              12.573              45.923              45.907               3.195               3.189
MedSea and MidEast     414.226             414.226              23.650              23.951               3.936               3.996             172.378             172.758             150.176             149.584              68.359              68.312
Tigris Euphrates       315.000             315.000               8.437               8.634               2.106               2.153             147.896             147.657             119.977             119.538              38.617              39.110
Polar                  472.677             472.677              22.018              23.182               5.060               5.298             103.130             103.201              59.190              58.157             243.053             242.843
Lost Boreal Forest     377.712             377.712              39.553              41.351               9.796              10.284             133.361             134.611             100.092              97.617             103.310             102.878
N. Hemisphere Land     696.135             696.135              60.387              61.180               6.418               6.540             200.311             201.212             130.656             129.673             296.359             295.665
S. Hemisphere Land     904.572             904.572              94.285              94.469               6.799               6.821             270.663             270.619             135.907             135.926             328.959             328.799
Global                 763.894             763.894              71.407              72.001               6.542               6.631             223.182             223.775             132.363             131.706             306.958             306.437
